id,name,city,latitude,longitude,dpcapacity,online_date
588,South Chicago Ave & 83rd St,Chicago,41.743921,-87.575225,11,5/27/2016 11:38:02
355,South Shore Dr & 67th St,Chicago,41.773643,-87.567514,19,01-09-2014 15:11
12,South Shore Dr & 71st St,Chicago,41.76640946,-87.56568757,15,6/21/2013 10:00:22
399,South Shore Dr & 74th St,Chicago,41.76218896,-87.55927465,11,1/30/2015 17:31:52
154,Southport Ave & Belmont Ave,Chicago ,41.93949,-87.66378,15,7/19/2013 09:34:49
292,Southport Ave & Clark St,Chicago,41.957081,-87.664199,11,9/13/2013 14:55:22
307,Southport Ave & Clybourn Ave,Chicago,41.920771,-87.663712,15,9/19/2013 16:30:42
318,Southport Ave & Irving Park Rd,Chicago,41.954177,-87.664358,15,9/20/2013 14:56:02
229,Southport Ave & Roscoe St,Chicago,41.943739,-87.66402,19,8/19/2013 16:10:33
227,Southport Ave & Waveland Ave,Chicago,41.94815,-87.66394,15,8/19/2013 13:15:07
153,Southport Ave & Wellington Ave,Chicago ,41.935733,-87.663576,19,7/19/2013 09:34:14
190,Southport Ave & Wrightwood Ave,Chicago,41.928773,-87.663913,15,08-05-2013 09:36
506,Spaulding Ave & Armitage Ave,Chicago,41.91718375,-87.71035665,15,02-10-2015 14:50
510,Spaulding Ave & Division St,Chicago,41.90270659,-87.70921957,15,02-10-2015 14:51
211,St. Clair St & Erie St,Chicago,41.894448,-87.622663,19,8/14/2013 16:32:44
469,St. Louis Ave & Balmoral Ave,Chicago,41.98039423,-87.71611496,15,02-10-2015 14:36
178,State St & 19th St,Chicago ,41.856594,-87.627542,15,7/19/2013 11:10:45
193,State St & 29th St,Chicago,41.841707,-87.626938,15,08-06-2013 14:08
148,State St & 33rd St,Chicago ,41.834734,-87.625813,11,7/19/2013 09:22:41
184,State St & 35th St,Chicago,41.83104,-87.62688,19,7/21/2013 07:52:49
572,State St & 76th St,Chicago,41.756971,-87.624621,11,5/27/2016 10:56:20
573,State St & 79th St,Chicago,41.750794,-87.624424,15,5/27/2016 10:56:54
5,State St & Harrison St,Chicago,41.874053,-87.627716,23,06-10-2013 10:46
47,State St & Kinzie St,Chicago,41.889187,-87.627754,31,6/25/2013 11:04:38
106,State St & Pearson St,Chicago,41.897448,-87.628722,27,7/18/2013 15:59:44
407,State St & Pershing Rd,Chicago,41.82301524,-87.62656802,11,1/30/2015 17:38:56
44,State St & Randolph St,Chicago,41.8847302,-87.62773357,27,6/25/2013 10:59:05
33,State St & Van Buren St,Chicago,41.877181,-87.627844,27,6/22/2013 21:06:44
185,Stave St & Armitage Ave,Chicago,41.917741,-87.691392,11,7/26/2013 10:32:39
264,Stetson Ave & South Water St,Chicago,41.886835,-87.62232,19,09-03-2013 15:12
324,Stockton Dr & Wrightwood Ave,Chicago,41.93132,-87.638742,15,9/21/2013 11:55:45
95,Stony Island Ave & 64th St,Chicago,41.77870057,-87.58678762,15,6/27/2013 13:58:11
102,Stony Island Ave & 67th St,Chicago,41.7734585,-87.58533974,11,7/16/2013 01:28:00
356,Stony Island Ave & 71st St,Chicago,41.76649294,-87.58646088,11,03-12-2014 12:27
270,Stony Island Ave & 75th St,Chicago,41.75866967,-87.58688287,15,09-05-2013 14:16
583,Stony Island Ave & 82nd St,Chicago,41.746559,-87.586005,11,5/27/2016 11:34:53
577,Stony Island Ave & South Chicago Ave,Chicago,41.751173,-87.585337,11,5/27/2016 11:31:07
35,Streeter Dr & Grand Ave,Chicago,41.892278,-87.612043,47,6/22/2013 21:12:15
491,Talman Ave & Addison St,Chicago,41.94663583,-87.69461476,15,02-10-2015 14:41
177,Theater on the Lake,Chicago ,41.926277,-87.630834,23,7/19/2013 11:09:45
556,Throop St & 52nd St,Chicago,41.799659,-87.657195,11,5/27/2016 10:48:18
490,Troy St & Elston Ave,Chicago,41.94524357,-87.7066499,15,02-10-2015 14:41
509,Troy St & North Ave,Chicago,41.9097693,-87.70528049,15,02-10-2015 14:50
408,Union Ave & Root St,Chicago,41.819102,-87.643278,11,1/30/2015 17:39:16
423,University Ave & 57th St,Chicago,41.791478,-87.599861,27,1/30/2015 17:44:17
571,Vernon Ave & 75th St,Chicago,41.758361,-87.614138,11,5/27/2016 10:55:30
574,Vernon Ave & 79th St,Chicago,41.750951,-87.613783,11,5/27/2016 10:57:20
72,Wabash Ave & 16th St,Chicago,41.860384,-87.625813,31,6/25/2013 12:56:47
587,Wabash Ave & 83rd St,Chicago,41.743316,-87.622849,11,5/27/2016 11:37:24
595,Wabash Ave & 87th St,Chicago,41.736646,-87.622634,15,5/27/2016 11:42:56
321,Wabash Ave & 8th St,Chicago,41.871962,-87.626106,19,9/20/2013 16:37:53
39,Wabash Ave & Adams St,Chicago,41.87947235,-87.62568861,23,6/25/2013 01:44:07
42,Wabash Ave & Cermak Rd,Chicago,41.852619,-87.626488,11,6/25/2013 07:38:55
199,Wabash Ave & Grand Ave,Chicago,41.890912,-87.626804,15,08-08-2013 12:26
59,Wabash Ave & Roosevelt Rd,Chicago,41.867227,-87.625961,23,6/25/2013 12:06:41
194,Wabash Ave & Wacker Pl,Chicago,41.886875,-87.62603,19,08-07-2013 14:01
